"A2A SPA ","Tarantini Graziano",Presidente
,"Silva Francesco","Vice Presidente"
,"Rossetti Paolo","Consigliere di Gestione"
,"Ravanelli Renato Amilcare","Consigliere di Gestione"
,"Cappello Maria Elena","Consigliere di Gestione"
,"Caparini Bruno","Consigliere di Gestione"
,"Cao Stefano","Consigliere di Gestione"
,"Brivio Giambattista","Consigliere di Gestione"
"ACEA SPA ","Cremonesi Giancarlo",Presidente
,"Staderini Marco","Amministratore Delegato"
,"Giani Giovanni",Amministratore
,"Bassi Paolo Giorgio",Amministratore
,"Pelaggi Luigi",Amministratore
,"Di Benedetto Paolo",Amministratore
,"Peruzy Andrea",Amministratore
,"Chaussade Jean Louis",Amministratore
,"Caltagirone Francesco",Amministratore
"ACEGAS - APS SPA ","Paniccia Massimo",Presidente
,"Pillon Cesare","Vice Presidente e Amministratore Delegato"
,"Minucci Aldo",Amministratore
,"Borgna Giovanni",Amministratore
,"Fontana Aldo",Amministratore
,"Malaguti Massimo",Amministratore
,"Ferrarese Franco",Amministratore
,"Polidori Paolo",Amministratore
,"Beltrame Fulvio",Amministratore
,"Eva Enrico",Amministratore
,"Chiarini Maurizio",Amministratore
,"Tommasi Di Vignano Tomaso",Amministratore
,"Milanesi Vincenzo",Amministratore
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"La Croce Giovanni",Amministratore
,"Girelli Giorgio Angelo",Amministratore
,"Guizzi Giuseppe",Amministratore
,"Cappiello Raffaele",Amministratore
,"Carnevale Cristian",Amministratore
,"Argenziano Margherita",Amministratore
,"Ago Francesco",Amministratore
,"Galoppi Giovanni",Amministratore
"ACQUE POTABILI SPA - SOCIETA' PER CONDOTTA DI ACQUE POTABILI ","Luzzati Luigi",Presidente
,"Romano Paolo","Vice Presidente e Amministratore Delegato"
,"Devoto Gianluigi","Amministratore Delegato"
,"Sava Francesco","Amministratore Delegato"
,"Parena Renato",Amministratore
,"Eichholzer Alberto",Amministratore
,"Gilli Giorgio",Amministratore
,"Manzoni Armando",Amministratore
,"Frascinelli Roberto",Amministratore
"ACSM-AGAM SPA ","Colombo Roberto",Presidente
