"A2A SPA ","Valotti Giovanni","Presidente e Componente del Comitato Esecutivo"
,"Comboni Giovanni","Vice Presidente e Componente del Comitato Esecutivo"
,"Camerano Luca","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Ravera Secondina Giulia",Amministratore
,"Bonomo Antonio",Amministratore
,"De Paoli Luigi",Amministratore
,"Ceretti Elisabetta",Amministratore
,"Cao Stefano",Amministratore
,"Cocchi Mario",Amministratore
,"Pareglio Stefano",Amministratore
,"Di Mezza Fausto",Amministratore
,"Castelli Michaela",Amministratore
"ACEA SPA ","Tomasetti Catia",Presidente
,"Irace Alberto","Amministratore Delegato"
,"D'arras Diane",Amministratore
,"Caltagirone Francesco",Amministratore
,"Maggini Elisabetta",Amministratore
,"Profeta Paola Antonia",Amministratore
,"Giani Giovanni",Amministratore
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"La Croce Giovanni",Amministratore
,"Girelli Giorgio Angelo",Amministratore
,"Guizzi Giuseppe",Amministratore
,"Cappiello Raffaele",Amministratore
,"Carnevale Cristian",Amministratore
,"Argenziano Margherita",Amministratore
,"Ago Francesco",Amministratore
,"Galoppi Giovanni",Amministratore
"ACQUE POTABILI SPA - SOCIETA' PER CONDOTTA DI ACQUE POTABILI ","Mascardi Fabiola",Presidente
,"Romano Paolo","Vice Presidente e Amministratore Delegato"
,"Devoto Gianluigi","Amministratore Delegato"
,"Sava Francesco","Amministratore Delegato"
,"Sciolotto Roberta",Amministratore
,"Frascinelli Roberto",Amministratore
,"Giuseppini Fabio",Amministratore
,"Gilli Giorgio",Amministratore
"ACSM-AGAM SPA ","Colombo Roberto",Presidente
,"D'alessandro Umberto","Vice Presidente"
,"Grigesi Enrico","Amministratore Delegato"
,"Panza Vincenzo",Amministratore
,"Botta Monga Alessandro Igino",Amministratore
,"Sala Marianna",Amministratore
,"Battocchi Paolo",Amministratore
,"Lanzara Paolo",Amministratore
,"Cobianchi Claudio",Amministratore
,"Allievi Luca Angelo",Amministratore
"AEDES SPA ","Puri Negri Carlo Alessandro",Presidente
,"Roveda Giuseppe","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Negri Clementi Annapaola",Amministratore
,"Garbuglia Giacomo",Amministratore
,"De Silvestri Antonino",Amministratore
,"Ingrassia Paolo","Amministratore e Componente del Comitato Esecutivo"
,"Doneda Luigia Tina",Amministratore
,"Ricci Rosanna",Amministratore
,"Bellomi Domenico","Amministratore e Componente del Comitato Esecutivo"
,"Ceglie Benedetto","Amministratore e Componente del Comitato Esecutivo"
"AEFFE SPA ","Ferretti Massimo",Presidente
,"Salomoni Marco",Amministratore
,"Tassinari Marcello",Amministratore
,"Borocci Sabrina",Amministratore
,"Badioli Simone",Amministratore
,"Ferretti Alberta",Amministratore
,"Giustiniani Pierfrancesco",Amministratore
,"Lugano Roberto",Amministratore
"AEROPORTO DI FIRENZE - ADF SPA ","Carrai Marco",Presidente
,"Fanti Vittorio","Amministratore Delegato"
,"Ceccuzzi Sergio",Amministratore
,"Mazzei Jacopo",Amministratore
,"Naldi Roberto",Amministratore
,"Panerai Carlo",Amministratore
,"Schirinian Ana Cristina",Amministratore
,"Baldi Simonetta",Amministratore
,"Eurnekian Martin Francisco Antranik",Amministratore
,"Giustiniani Paolo",Amministratore
,"Giusti Luca",Amministratore
,"Grassi Cinzia",Amministratore
,"Panerai Saverio",Amministratore
"AION RENEWABLES SPA ","Akhmerov Igor",Presidente
,"Giorgi Marco","Vice Presidente e Amministratore Delegato"
,"Musetti Marco",Amministratore
,"Maggi Francesco",Amministratore
,"Li Suyue",Amministratore
,"Fava Claudio",Amministratore
,"Chen Lei",Amministratore
"ALBA PRIVATE EQUITY SPA ","Casini Enrico",Presidente
,"Ravazzi Riccardo Maria","Amministratore Delegato"
,"Poretti Stefano",Amministratore
,"Brocchetti Cristiana",Amministratore
,"Bazoli Francesca",Amministratore
,"Milia Andrea",Amministratore
,"Marzari Stefano",Amministratore
,"Bosco Monica",Amministratore
,"Prati Paolo",Amministratore
"ALERION CLEAN POWER SPA ","Colleoni Gastone","Presidente e Componente del Comitato Esecutivo"
,"Perrone Alessandro","Vice Presidente e Componente del Comitato Esecutivo"
,"Garofano Giuseppe Maria","Vice Presidente e Componente del Comitato Esecutivo"
,"Antonello Giulio","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Priori Marcello",Amministratore
,"Crosti Alessandro",Amministratore
,"Bonferroni Franco",Amministratore
,"Canova Michelangelo","Amministratore e Componente del Comitato Esecutivo"
,"Pernici Giorgio","Amministratore e Componente del Comitato Esecutivo"
,"Santini Corrado",Amministratore
,"Iannuzzo Pasquale",Amministratore
,"Visentin Graziano",Amministratore
,"Paolillo Ernesto",Amministratore
,"Zanetti Laura",Amministratore
,"Falappa Giuseppina",Amministratore
"AMBIENTHESIS SPA ","Monorchio Andrea","Presidente onorario"
,"Azario Alberto",Presidente
,"Grossi Paola","Vice Presidente"
,"Belli Damiano","Amministratore Delegato"
,"Menzolini Enrico",Amministratore
,"Cominetta Pier Giorgio Emiliano",Amministratore
,"Pedretti Susanna",Amministratore
,"Margutti Paola",Amministratore
,"La Pietra Paolo Giuseppe",Amministratore
,"Mangialardi Giovanni",Amministratore
,"Castagnola Franco",Amministratore
"AMPLIFON SPA ","Formiggini Anna Maria","Presidente onorario e Amministratore"
,"Holland Susan Carol",Presidente
,"Moscetti Franco","Amministratore Delegato"
,"Bracchi Giampio",Amministratore
,"Garavoglia Luca",Amministratore
,"Tamburi Giovanni",Amministratore
,"Guerra Andrea",Amministratore
,"Costa Maurizio",Amministratore
"ANIMA HOLDING SPA ","Bombonato Claudio",Presidente
,"Carreri Marco","Amministratore Delegato"
,"Caverni Mara Anna Rita",Amministratore
,"Grieco Maria Patrizia",Amministratore
,"Miceli Valeria",Amministratore
,"Raimondi Livio",Amministratore
,"Mingrone Bernardo",Amministratore
,"Turri Giuseppe",Amministratore
,"Venuti Gianfranco",Amministratore
"ANSALDO STS SPA ","De Luca Sergio",Presidente
,"Braccialarghe Domenico","Vice Presidente"
,"Siragusa Stefano","Amministratore Delegato"
,"Poggiali Barbara",Amministratore
,"Pavesi Bruno",Amministratore
,"Genco Alessandra",Amministratore
,"Pierri Paola",Amministratore
,"Gallazzi Giulio",Amministratore
,"Cavallini Giovanni",Amministratore
"ARENA AGROINDUSTRIE ALIMENTARI SPA ","Lombardi Raffaello","Presidente e Amministratore Delegato"
,"Sorgi Emilio","Vice Presidente"
,"De Carolis Cesare M",Amministratore
"ARNOLDO MONDADORI EDITORE SPA ","Berlusconi Marina Elvira",Presidente
