"A2A SPA ","Zuccoli Giuliano",Presidente
,"Cinquini Vittorio","Vice Presidente"
,"Rossetti Paolo","Consigliere di Gestione"
,"Baiguera Franco","Consigliere di Gestione"
,"Ravanelli Renato Amilcare","Consigliere di Gestione"
,"Randazzo Francesco","Consigliere di Gestione"
,"Sala Giuseppe","Consigliere di Gestione"
,"Cocchi Mario","Consigliere di Gestione"
"ACEA SPA ","Cremonesi Giancarlo",Presidente
,"Staderini Marco","Amministratore Delegato"
,"Bassi Paolo Giorgio",Amministratore
,"Di Benedetto Paolo",Amministratore
,"Pelaggi Luigi",Amministratore
,"Peruzy Andrea",Amministratore
,"Chaussade Jean Louis",Amministratore
,"Chiarini Aldo",Amministratore
,"Caltagirone Francesco",Amministratore
"ACEGAS - APS SPA ","Paniccia Massimo","Presidente e Componente del Comitato Esecutivo"
,"Pillon Cesare","Vice Presidente e Amministratore Delegato e Componente del Comitato Esecutivo"
,"Minucci Aldo",Amministratore
,"Fontana Aldo",Amministratore
,"Malaguti Massimo",Amministratore
,"Ferrarese Franco",Amministratore
,"Polidori Paolo",Amministratore
,"Contino Giuseppe",Amministratore
,"Beltrame Fulvio",Amministratore
,"Eva Enrico",Amministratore
,"Codarin Renzo",Amministratore
,"Milanesi Vincenzo","Amministratore e Componente del Comitato Esecutivo"
,"Romanelli Manlio","Amministratore e Componente del Comitato Esecutivo"
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"Guizzi Giuseppe",Amministratore
,"Cappiello Raffaele",Amministratore
,"Carnevale Cristian",Amministratore
,"De Rita Luca",Amministratore
,"Hassan Luciano",Amministratore
,"Argenziano Margherita",Amministratore
,"Ago Francesco",Amministratore
,"Galoppi Giovanni",Amministratore
"ACQUE POTABILI SPA - SOCIETA' PER CONDOTTA DI ACQUE POTABILI ","Luzzati Luigi",Presidente
,"Romano Paolo","Vice Presidente e Amministratore Delegato"
,"Devoto Gianluigi","Amministratore Delegato"
,"Sava Francesco","Amministratore Delegato"
,"Eichholzer Alberto",Amministratore
,"Parena Renato",Amministratore
,"Gilli Giorgio",Amministratore
,"Manzoni Armando",Amministratore
,"Frascinelli Roberto",Amministratore
"ACSM-AGAM SPA ","D'alessandro Umberto",Presidente
,"Colombo Roberto","Vice Presidente"
,"Grigesi Enrico","Amministratore Delegato"
,"Terraneo Federico",Amministratore
,"Masocco Giorgio",Amministratore
,"Lanzara Paolo",Amministratore
,"Sala Paola",Amministratore
,"Crippa Antonio Maria",Amministratore
,"Castelli Gianni",Amministratore
,"Cobianchi Claudio",Amministratore
"AEDES SPA ","Grassano Giuseppe",Presidente
,"Negri Clementi Annapaola","Vice Presidente"
,"Ingrassia Paolo","Vice Presidente"
,"Montescani Francesco","Amministratore Delegato"
,"Savino Luca",Amministratore
,"De Silvestri Antonino",Amministratore
,"Amenduni Gresele Antonella",Amministratore
,"Bellomi Domenico",Amministratore
,"Redaelli Fabrizio",Amministratore
,"Carletti Alberto",Amministratore
,"Ferrero Cesare",Amministratore
,"Scarsi Pio",Amministratore
"AEFFE SPA ","Ferretti Massimo",Presidente
,"Ferretti Alberta","Vice Presidente"
,"Badioli Simone","Amministratore Delegato"
,"Paolucci Umberto",Amministratore
,"Tassinari Marcello",Amministratore
,"Giustiniani Pierfrancesco",Amministratore
,"Lugano Roberto",Amministratore
"AEROPORTO DI FIRENZE - ADF SPA ","Manes Vincenzo",Presidente
,"Longo Carlo",Amministratore
,"Montagnese Maurizio",Amministratore
,"Palombelli Fausto",Amministratore
,"Mazzei Jacopo",Amministratore
,"Mauro Mario",Amministratore
,"Cao Stefano",Amministratore
,"Marino' Biagio","Amministratore e Componente del Comitato Esecutivo"
,"Giustiniani Paolo","Amministratore e Componente del Comitato Esecutivo"
,"Cammilli Alberto",Amministratore
,"Fini Aldighiero",Amministratore
