"A2A SPA ","Tarantini Graziano",Presidente
,"Silva Francesco","Vice Presidente"
,"Rossetti Paolo","Consigliere di Gestione"
,"Ravanelli Renato Amilcare","Consigliere di Gestione"
,"Cappello Maria Elena","Consigliere di Gestione"
,"Caparini Bruno","Consigliere di Gestione"
,"Cao Stefano","Consigliere di Gestione"
,"Brivio Giambattista","Consigliere di Gestione"
"ACEA SPA ","Cremonesi Giancarlo",Presidente
,"Gallo Paolo","Amministratore Delegato"
,"Giani Giovanni",Amministratore
,"Di Benedetto Paolo",Amministratore
,"Peruzy Andrea",Amministratore
,"Leo Maurizio",Amministratore
,"D'arras Diane",Amministratore
,"Illuminati Antonella",Amministratore
,"Caltagirone Francesco",Amministratore
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"La Croce Giovanni",Amministratore
,"Girelli Giorgio Angelo",Amministratore
,"Guizzi Giuseppe",Amministratore
,"Cappiello Raffaele",Amministratore
,"Carnevale Cristian",Amministratore
,"Argenziano Margherita",Amministratore
,"Ago Francesco",Amministratore
,"Galoppi Giovanni",Amministratore
"ACQUE POTABILI SPA - SOCIETA' PER CONDOTTA DI ACQUE POTABILI ","Luzzati Luigi",Presidente
,"Romano Paolo","Vice Presidente e Amministratore Delegato"
,"Devoto Gianluigi","Amministratore Delegato"
,"Sava Francesco","Amministratore Delegato"
,"Parena Renato",Amministratore
,"Eichholzer Alberto",Amministratore
,"Gilli Giorgio",Amministratore
,"Manzoni Armando",Amministratore
,"Frascinelli Roberto",Amministratore
"ACSM-AGAM SPA ","Colombo Roberto",Presidente
,"D'alessandro Umberto","Vice Presidente"
,"Grigesi Enrico","Amministratore Delegato"
,"Panza Vincenzo",Amministratore
,"Botta Monga Alessandro Igino",Amministratore
,"Sala Marianna",Amministratore
,"Battocchi Paolo",Amministratore
,"Lanzara Paolo",Amministratore
,"Cobianchi Claudio",Amministratore
,"Allievi Luca Angelo",Amministratore
"AEDES SPA ","Scarsi Pio","Presidente e Componente del Comitato Esecutivo"
,"Roveda Giuseppe","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Negri Clementi Annapaola",Amministratore
