"A2A SPA ","Valotti Giovanni","Presidente e Componente del Comitato Esecutivo"
,"Comboni Giovanni","Vice Presidente e Componente del Comitato Esecutivo"
,"Camerano Luca","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Ravera Secondina Giulia",Amministratore
,"Bonomo Antonio",Amministratore
,"De Paoli Luigi",Amministratore
,"Ceretti Elisabetta",Amministratore
,"Pareglio Stefano",Amministratore
,"Di Mezza Fausto",Amministratore
,"Brivio Giambattista",Amministratore
,"Castelli Michaela",Amministratore
,"Cappello Maria Elena",Amministratore
"ACEA SPA ","Tomasetti Catia",Presidente
,"Irace Alberto","Amministratore Delegato"
,"Giani Giovanni",Amministratore
,"Capece Minutolo Del Sasso Massimiliano",Amministratore
,"Profeta Paola Antonia",Amministratore
,"Maggini Elisabetta",Amministratore
,"D'arras Diane",Amministratore
,"Caltagirone Francesco",Amministratore
,"Neri Roberta",Amministratore
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"Rubens Esposito",Amministratore
,"Argenziano Margherita",Amministratore
,"Ago Francesco",Amministratore
,"Galoppi Giovanni",Amministratore
"ACSM-AGAM SPA ","Orsenigo Giovanni",Presidente
,"Di Ruscio Annamaria","Vice Presidente"
,"Soldani Paolo","Amministratore Delegato"
,"Manna Franco Carmine",Amministratore
,"Ferri Giuseppe",Amministratore
,"D'alessandro Umberto",Amministratore
,"Biandrino Pier Giuseppe",Amministratore
,"Moglia Antonio",Amministratore
,"Becchelli Francesco",Amministratore
,"Beretta Floriana",Amministratore
"AEDES SOCIETA' DI INVESTIMENTO IMMOBILIARE QUOTATA SOCIETA' PER AZIONI ","Puri Negri Carlo Alessandro",Presidente
,"Ceglie Benedetto","Vice Presidente"
,"Roveda Giuseppe","Amministratore Delegato"
,"Negri Clementi Annapaola",Amministratore
,"Garbuglia Giacomo",Amministratore
,"Rossano Serenella",Amministratore
,"Latella Dario",Amministratore
,"Guarneri Adriano",Amministratore
,"Robba Giorgio",Amministratore
"AEFFE SPA ","Ferretti Massimo",Presidente
,"Salomoni Marco",Amministratore
,"Tassinari Marcello",Amministratore
,"Borocci Sabrina",Amministratore
,"Badioli Simone",Amministratore
,"Ferretti Alberta",Amministratore
,"Giustiniani Pierfrancesco",Amministratore
,"Lugano Roberto",Amministratore
"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA ","Postacchini Enrico",Presidente
,"Ventola Nazareno","Amministratore Delegato"
,"Bonfiglioli Sonia",Amministratore
,"Lorenzoni Gianni",Amministratore
,"Tabellini Giorgio",Amministratore
,"Mantecchini Luca",Amministratore
,"Fornasari Chiara",Amministratore
,"Grandi Giada",Amministratore
,"Cammelli Marco",Amministratore
"ALBA SPA ","Cappone Michele",Presidente
,"Di Terlizzi Flavio","Amministratore Delegato"
,"Bosco Monica",Amministratore
,"Prati Paolo",Amministratore
,"De Miranda Roberto",Amministratore
,"Gatti Matteo",Amministratore
,"Brocchetti Cristiana",Amministratore
,"Bazoli Francesca",Amministratore
"ALERION CLEAN POWER SPA ","Colleoni Gastone",Presidente
,"Arnaboldi Luca","Vice Presidente"
,"Miglio Mauro","Amministratore Delegato"
,"Santini Corrado",Amministratore
,"Bartyan Sylvia",Amministratore
,"Savi Patrizia",Amministratore
,"Bonamigo Mario",Amministratore
"AMBIENTHESIS SPA ","Monorchio Andrea","Presidente onorario"
,"Azario Alberto",Presidente
,"Grossi Paola","Vice Presidente"
,"Belli Damiano","Amministratore Delegato"
,"Menzolini Enrico",Amministratore
,"Cominetta Pier Giorgio Emiliano",Amministratore
,"Pedretti Susanna",Amministratore
,"Margutti Paola",Amministratore
,"La Pietra Paolo Giuseppe",Amministratore
,"Mangialardi Giovanni",Amministratore
,"Castagnola Franco",Amministratore
"AMPLIFON SPA ","Formiggini Anna Maria","Presidente onorario e Amministratore"
,"Holland Susan Carol",Presidente
,"Moscetti Franco","Vice Presidente"
,"Vita Enrico","Amministratore Delegato"
,"Costa Maurizio",Amministratore
,"Puccio Anna",Amministratore
,"Bracchi Giampio",Amministratore
,"Tamburi Giovanni",Amministratore
,"Guerra Andrea",Amministratore
"ANIMA HOLDING SPA ","Bombonato Claudio",Presidente
,"Carreri Marco","Amministratore Delegato"
,"Caverni Mara Anna Rita",Amministratore
,"Grieco Maria Patrizia",Amministratore
,"Miceli Valeria",Amministratore
,"Raimondi Livio",Amministratore
,"Furlan Laura",Amministratore
,"Turri Giuseppe",Amministratore
,"Venuti Gianfranco",Amministratore
"ANSALDO STS SPA ","Dormer Alistair John",Presidente
,"Boswell Karen","Vice Presidente"
,"Siragusa Stefano","Amministratore Delegato"
,"Piccinino Alessandra",Amministratore
,"Giannotti Paola",Amministratore
,"Pavesi Bruno",Amministratore
,"Gallazzi Giulio",Amministratore
,"Garraffo Mario",Amministratore
,"Cavallini Giovanni",Amministratore
"ARENA AGROINDUSTRIE ALIMENTARI SPA ","Lombardi Raffaello","Presidente e Amministratore Delegato"
,"Sorgi Emilio","Vice Presidente"
,"De Carolis Cesare M",Amministratore
"ARNOLDO MONDADORI EDITORE SPA ","Berlusconi Marina Elvira",Presidente
,"Mauri Ernesto","Amministratore Delegato"
,"Berlusconi Piersilvio",Amministratore
,"Poli Roberto",Amministratore
,"Messina Alfredo",Amministratore
,"Resca Mario",Amministratore
,"Rossello Cristina",Amministratore
,"Spadacini Marco",Amministratore
,"Renoldi Angelo",Amministratore
,"Cannatelli Pasquale",Amministratore
,"Ermolli Bruno",Amministratore
,"Pellegrino Danilo",Amministratore
,"Forneron Mondadori Martina",Amministratore
,"Pozzi Oddone Maria",Amministratore
"ASCOPIAVE SPA ","Zugno Fulvio","Presidente e Amministratore Delegato"
,"Paron Claudio",Amministratore
,"Quarello Enrico",Amministratore
,"Pietrobon Greta",Amministratore
,"Coin Dimitri",Amministratore
"AS ROMA SPA ","Pallotta James Joseph","Presidente e Componente del Comitato Esecutivo"
,"Zanzi Italo Andres","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Beers Charlotte Lenore",Amministratore
,"Gold Stanley Philipp",Amministratore
,"Klein Brian Katz",Amministratore
,"Baldissoni Mauro","Amministratore e Componente del Comitato Esecutivo"
,"Navarra Benedetta",Amministratore
,"D'amore Richard Antony",Amministratore
,"Sternlicht Barry Stuart",Amministratore
,"Cambareri Gianluca",Amministratore
,"Neely Cameron Michael",Amministratore
,"Garciaparra Mariel Hamm",Amministratore
,"Galantic John",Amministratore
"ASSICURAZIONI GENERALI SPA ","Galateri Di Genola E Suniglia Gabriele",Presidente
,"Rebecchini Clemente","Vice Presidente"
,"Caltagirone Francesco Gaetano","Vice Presidente"
