"1 Legislatura","Antonio Cavalli"
"1 Legislatura","Severino Cavazzini"
"1 Legislatura","Guido Ceccherini"
"1 Legislatura","Vincenzo Cecconi"
"1 Legislatura","Mario Ceravolo"
"1 Legislatura","Roberto Cessi"
"1 Legislatura","Luigi Chatrian"
"1 Legislatura","Egidio Chiarini"
"1 Legislatura","Mary Chiesa Tibaldi"
"1 Legislatura","Giuseppe Chiostergi"
"1 Legislatura","Antonio Cifaldi"
"1 Legislatura","Maria Lisa Cinciari Rodano"
"1 Legislatura","Edoardo Clerici"
"1 Legislatura","Ivo Coccia"
"1 Legislatura","Giuseppe Codacci Pisanelli"
"1 Legislatura","Giulio Coli"
"1 Legislatura","Domenico Chiaramello"
"1 Legislatura","Francesco Chieffi"
"1 Legislatura","Irene Chini Coccoli"
"1 Legislatura","Vincenzo Cicerone"
"1 Legislatura","Fiorenzo Cimenti"
"1 Legislatura","Domenico Ciufoli"
"1 Legislatura","Amerigo Clocchiatti"
"1 Legislatura","Francesco Cocco Ortu"
"1 Legislatura","Domenico Colasanto"
"1 Legislatura","Francesco Colitto"
"1 Legislatura","Aurelio Colleoni"
"1 Legislatura","Francesco Concetti"
"1 Legislatura","Alberto Consiglio"
"1 Legislatura","Alessandro Coppi"
"1 Legislatura","Bruno Corbi"
"1 Legislatura","Italo Cornia"
"1 Legislatura","Giacomo Corona"
"1 Legislatura","Pasquale Cortese"
"1 Legislatura","Alfredo Cotani"
"1 Legislatura","Alfredo Covelli"
"1 Legislatura","Emilio Colombo"
"1 Legislatura","Elisabetta (Elsa) Conci"
"1 Legislatura","Ezio Coppa"
"1 Legislatura","Ilia Coppi"
"1 Legislatura","Epicarmo Corbino"
"1 Legislatura","Achille Corona"
"1 Legislatura","Camillo Corsanego"
"1 Legislatura","Gastone Costa"
"1 Legislatura","Mario Cotellessa"
"1 Legislatura","Carlo Cremaschi"
"1 Legislatura","Olindo Cremaschi"
"1 Legislatura","Antonino Cuttitta"
"1 Legislatura","Angelo d'Agostino"
"1 Legislatura","Michele d'Amico"
"1 Legislatura","Ida d'Este"
"1 Legislatura","Pietro Dal Pozzo"
"1 Legislatura","Gerardo De Caro"
"1 Legislatura","Luigi De Filpo"
"1 Legislatura","Beniamino De Maria"
"1 Legislatura","Carmine De Martino"
"1 Legislatura","Aldo Cucchi"
"1 Legislatura","Roberto Cuzzaniti"
"1 Legislatura","Ferdinando d'Ambrosio"
"1 Legislatura","Emilio d'Amore"
"1 Legislatura","Maria Pia Dal Canton"
"1 Legislatura","Cesare Dami"
"1 Legislatura","Raffaele De Caro"
"1 Legislatura","Alcide De Gasperi"
"1 Legislatura","Alberto De Martino"
"1 Legislatura","Francesco De Martino"
"1 Legislatura","Gustavo De Meo"
"1 Legislatura","Giacomo De Palma"
"1 Legislatura","Francesco De Vita"
"1 Legislatura","Dino Del Bo"
"1 Legislatura","Filomena Delli Castelli"
"1 Legislatura","Florestano Di Fausto"
"1 Legislatura","Luigi Di Mauro"
"1 Legislatura","Laura Diaz"
"1 Legislatura","Francesco Maria Dominedo'"
"1 Legislatura","Ezio Donatini"
"1 Legislatura","Luigi De Michele"
"1 Legislatura","Maria De Unterrichter Jervolino"
"1 Legislatura","Danilo de' Cocci"
"1 Legislatura","Umberto Delle Fave"
"1 Legislatura","Antonio Di Donato"
"1 Legislatura","Gaetano Di Leo"
"1 Legislatura","Giuseppe Di Vittorio"
"1 Legislatura","Romolo Diecidue"
"1 Legislatura","Antigono Donati"
"1 Legislatura","Giuseppe Dossetti"
"1 Legislatura","Gualtiero Driussi"
"1 Legislatura","Eugenio Dugoni"
"1 Legislatura","Domenico Emanuelli"
"1 Legislatura","Arnaldo Fabriani"
"1 Legislatura","Pietro Fadda"
"1 Legislatura","Augusto Fanelli"
"1 Legislatura","Vannuccio Faralli"
"1 Legislatura","Carlo Farini"
"1 Legislatura","Bruno Fassina"
"1 Legislatura","Maria Federici Agamben"
"1 Legislatura","Luigi Ducci"
"1 Legislatura","Antonio Ebner"
"1 Legislatura","Giuseppe Ermini"
"1 Legislatura","Angelo Facchin"
"1 Legislatura","Virgilio Failla"
"1 Legislatura","Amintore Fanfani"
"1 Legislatura","Paolo Alfonso Farinet"
"1 Legislatura","Aldo Fascetti"
"1 Legislatura","Rosa Fazio Longo"
"1 Legislatura","Giuseppe Ferrandi"
"1 Legislatura","Egidio Ferrara"
"1 Legislatura","Celestino Ferrario"
"1 Legislatura","Pietro Ferreri"
"1 Legislatura","Luigi Filosa"
"1 Legislatura","Gaetano Fiorentino"
"1 Legislatura","Luciana Fittaioli"
"1 Legislatura","Salvatore Foderaro"
"1 Legislatura","Palmiro Foresi"
"1 Legislatura","Renzo Franzo"
"1 Legislatura","Giuseppe Fuschini"
"1 Legislatura","Antonio Ferrarese"
"1 Legislatura","Emanuele Ferraris"
"1 Legislatura","Cornelio Fietta"
"1 Legislatura","Bortolo Eugenio Fina"
"1 Legislatura","Giuseppe Firrao"
"1 Legislatura","Gisella Floreanini Della Porta"
"1 Legislatura","Aldovino Fora"
"1 Legislatura","Francesco Franceschini"
"1 Legislatura","Luigi Camillo Fumagalli"
"1 Legislatura","Valdo Fusi"
"1 Legislatura","Antonio Gabrieli"
"1 Legislatura","Nadia Gallico Spano"
"1 Legislatura","Giuseppe Garlato"
"1 Legislatura","Eugenio Gatto"
"1 Legislatura","Francesco Geraci"
"1 Legislatura","Silvio Geuna"
"1 Legislatura","Guglielmo Ghislandi"
"1 Legislatura","Giuseppe Giammarco"
"1 Legislatura","Olga Giannini"
"1 Legislatura","Antonio Giolitti"
"1 Legislatura","Vito Giuseppe Galati"
"1 Legislatura","Elisabetta Gallo"
"1 Legislatura","Giovanni Gasparoli"
"1 Legislatura","Erisia Gennai Tonietti"
"1 Legislatura","Pietro Germani"
"1 Legislatura","Giovanni Ghirotti"
"1 Legislatura","Enzo Giacchero"
"1 Legislatura","Guglielmo Giannini"
"1 Legislatura","Giovanni Giavi"
"1 Legislatura","Igino Giordani"
"1 Legislatura","Alberto Giovannini"
"1 Legislatura","Giuseppe Giulietti"
"1 Legislatura","Guido Gonella"
"1 Legislatura","Angela Gotelli"
"1 Legislatura","Candido Grassi"
"1 Legislatura","Luigi Grassi"
"1 Legislatura","Giovanni Italo Greco"
"1 Legislatura","Pietro Grifone"
"1 Legislatura","Giovanni Gronchi"
"1 Legislatura","Antonio Guariento"
"1 Legislatura","Leone Osvaldo Girolami"
"1 Legislatura","Grazia Giuntoli"
"1 Legislatura","Natale Gorini"
"1 Legislatura","Pietro Grammatico"
"1 Legislatura","Giuseppe Grassi"
"1 Legislatura","Verenin Grazia"
"1 Legislatura","Paolo Greco"
"1 Legislatura","Giovanni Grilli"
"1 Legislatura","Mario Marino Guadalupi"
"1 Legislatura","Emanuele Guerrieri"
"1 Legislatura","Filippo Guerrieri"
"1 Legislatura","Angela Maria Guidi Cingolani"
"1 Legislatura","Fausto Gullo"
"1 Legislatura","Giuseppe Imperiale"
"1 Legislatura","Pietro Ingrao"
"1 Legislatura","Gaetano Invernizzi"
"1 Legislatura","Natale Vasco Jacoponi"
"1 Legislatura","Ugo La Malfa"
"1 Legislatura","Giorgio La Pira"
"1 Legislatura","Renzo Laconi"
"1 Legislatura","Otto Guggenberg"
"1 Legislatura","Luigi Gui"
"1 Legislatura","Renzo Helfer"
"1 Legislatura","Pasquale Improta"
"1 Legislatura","Gabriele Invernizzi"
"1 Legislatura","Nilde Iotti"
"1 Legislatura","Angelo Raffaele Jervolino"
"1 Legislatura","Salvatore La Marca"
"1 Legislatura","Vincenzo La Rocca"
"1 Legislatura","Domenico Larussa"
"1 Legislatura","Domenico Latanza"
"1 Legislatura","Giuseppe Lazzati"
