"A2A SPA ","Valotti Giovanni","Presidente e Componente del Comitato Esecutivo"
,"Comboni Giovanni","Vice Presidente e Componente del Comitato Esecutivo"
,"Camerano Luca","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Ravera Secondina Giulia",Amministratore
,"Bonomo Antonio",Amministratore
,"De Paoli Luigi",Amministratore
,"Ceretti Elisabetta",Amministratore
,"Pareglio Stefano",Amministratore
,"Di Mezza Fausto",Amministratore
,"Castelli Michaela",Amministratore
,"Brivio Giambattista",Amministratore
,"Cappello Maria Elena",Amministratore
"ACEA SPA ","Tomasetti Catia",Presidente
,"Irace Alberto","Amministratore Delegato"
,"Giani Giovanni",Amministratore
,"Capece Minutolo Del Sasso Massimiliano",Amministratore
,"Profeta Paola Antonia",Amministratore
,"Maggini Elisabetta",Amministratore
,"Caltagirone Francesco",Amministratore
,"Neri Roberta",Amministratore
,"Simon Angel Grimaldos",Amministratore
"ACOTEL GROUP SPA ","Carnevale Claudio","Presidente e Amministratore Delegato"
,"Rubens Esposito",Amministratore
,"Argenziano Margherita",Amministratore
,"Ago Francesco",Amministratore
,"Galoppi Giovanni",Amministratore
"ACSM-AGAM SPA ","Orsenigo Giovanni",Presidente
,"Di Ruscio Annamaria","Vice Presidente"
,"Soldani Paolo","Amministratore Delegato"
,"Manna Franco Carmine",Amministratore
,"Ferri Giuseppe",Amministratore
,"D'alessandro Umberto",Amministratore
,"Biandrino Pier Giuseppe",Amministratore
,"Moglia Antonio",Amministratore
,"Becchelli Francesco",Amministratore
,"Beretta Floriana",Amministratore
"AEDES SOCIETA' DI INVESTIMENTO IMMOBILIARE QUOTATA SOCIETA' PER AZIONI ","Puri Negri Carlo Alessandro",Presidente
,"Ceglie Benedetto","Vice Presidente"
,"Roveda Giuseppe","Amministratore Delegato"
,"Negri Clementi Annapaola",Amministratore
,"Garbuglia Giacomo",Amministratore
,"Rossano Serenella",Amministratore
,"Latella Dario",Amministratore
,"Guarneri Adriano",Amministratore
,"Robba Giorgio",Amministratore
"AEFFE SPA ","Ferretti Massimo",Presidente
,"Salomoni Marco",Amministratore
,"Borocci Sabrina",Amministratore
,"Tassinari Marcello",Amministratore
,"Badioli Simone",Amministratore
,"Ferretti Alberta",Amministratore
,"Giustiniani Pierfrancesco",Amministratore
,"Lugano Roberto",Amministratore
"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA ","Postacchini Enrico",Presidente
,"Ventola Nazareno","Amministratore Delegato"
,"Bonfiglioli Sonia",Amministratore
,"Del Torchio Gabriele",Amministratore
,"Tabellini Giorgio",Amministratore
,"Mantecchini Luca",Amministratore
,"Albano Arturo",Amministratore
,"Pascotto Laura",Amministratore
,"Grandi Giada",Amministratore
"ALBA SPA ","Bazoli Francesca",Presidente
,"Di Terlizzi Flavio","Amministratore Delegato"
,"Guglielmetti Romina",Amministratore
,"D'angelo Epifanio",Amministratore
,"Cappone Michele",Amministratore
,"Bosco Monica",Amministratore
,"Prati Paolo",Amministratore
,"Fabiano Caterina",Amministratore
,"De Miranda Roberto",Amministratore
"ALERION CLEAN POWER SPA ","Colleoni Gastone",Presidente
,"Miglio Mauro","Amministratore Delegato"
,"Santini Corrado",Amministratore
,"Sironi Francesco",Amministratore
,"Bartyan Sylvia",Amministratore
,"Savi Patrizia",Amministratore
,"Bonamigo Mario",Amministratore
"AMBIENTHESIS SPA ","Castagnola Franco",Presidente
,"Belli Damiano","Amministratore Delegato"
,"Rossi Paolo",Amministratore
,"Pedretti Susanna",Amministratore
,"Mangialardi Giovanni",Amministratore
,"Margutti Paola",Amministratore
,"Bazzano Maria Cleofe",Amministratore
"AMPLIFON SPA ","Formiggini Anna Maria","Presidente onorario"
,"Holland Susan Carol",Presidente
,"Vita Enrico","Amministratore Delegato"
,"Costa Maurizio",Amministratore
,"Grieco Maria Patrizia",Amministratore
,"Pozza Lorenzo",Amministratore
,"Tamburi Giovanni",Amministratore
,"Donnini Laura",Amministratore
,"Casalini Andrea",Amministratore
,"Cortesi Alessandro",Amministratore
"ANIMA HOLDING SPA ","Bombonato Claudio",Presidente
,"Carreri Marco","Amministratore Delegato"
,"Grieco Maria Patrizia",Amministratore
,"Raimondi Livio",Amministratore
,"Ferraris Luigi",Amministratore
,"Pasinelli Francesca",Amministratore
,"Paramico Renzulli Francesca",Amministratore
,"Venuti Gianfranco",Amministratore
,"Turri Giuseppe",Amministratore
"ANSALDO STS SPA ","Dormer Alistair John","Presidente e Componente del Comitato Esecutivo"
,"De Benedictis Alberto","Vice Presidente"
,"Barr Andrew Thomas","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Cipriotti Rosa",Amministratore
,"Painter Katharine Rosalind",Amministratore
,"Mingay Katherine Jane","Amministratore e Componente del Comitato Esecutivo"
,"Bivona Giuseppe",Amministratore
,"Labruna Fabio",Amministratore
,"Garraffo Mario",Amministratore
"ARNOLDO MONDADORI EDITORE SPA ","Berlusconi Marina Elvira",Presidente
,"Mauri Ernesto","Amministratore Delegato"
,"Berlusconi Piersilvio",Amministratore
,"Poli Roberto",Amministratore
,"Messina Alfredo",Amministratore
,"Resca Mario",Amministratore
,"Rossello Cristina",Amministratore
,"Spadacini Marco",Amministratore
,"Renoldi Angelo",Amministratore
,"Cannatelli Pasquale",Amministratore
,"Ainio Paolo Guglielmo Luigi",Amministratore
,"Pellegrino Danilo",Amministratore
,"Forneron Mondadori Martina",Amministratore
,"Pozzi Oddone Maria",Amministratore
"ASCOPIAVE SPA ","Zugno Fulvio","Presidente e Amministratore Delegato"
,"Paron Claudio",Amministratore
,"Quarello Enrico",Amministratore
,"Coin Dimitri",Amministratore
,"Pietrobon Greta",Amministratore
"AS ROMA SPA ","Pallotta James Joseph","Presidente e Componente del Comitato Esecutivo"
,"Gandini Umberto Maria","Amministratore Delegato e Componente del Comitato Esecutivo"
,"Beers Charlotte Lenore",Amministratore
,"Gold Stanley Philipp",Amministratore
,"Klein Brian Katz",Amministratore
,"Baldissoni Mauro","Amministratore e Componente del Comitato Esecutivo"
,"Navarra Benedetta",Amministratore
,"D'amore Richard Antony",Amministratore
,"Sternlicht Barry Stuart",Amministratore
,"Cambareri Gianluca",Amministratore
,"Neely Cameron Michael",Amministratore
,"Garciaparra Mariel Hamm",Amministratore
,"Galantic John",Amministratore
"ASSICURAZIONI GENERALI SPA ","Galateri Di Genola E Suniglia Gabriele",Presidente
,"Rebecchini Clemente","Vice Presidente"
,"Caltagirone Francesco Gaetano","Vice Presidente"
,"Donnet Philippe","Amministratore Delegato"
,"Bardin Romolo",Amministratore
,"Di Benedetto Paolo",Amministratore
,"Pucci Sabrina",Amministratore
